start_lat,start_lng,end_lat,end_lng,distance_m,travel_time_s,haversine_km
12.93298,79.149538,12.978776,79.11714,11592.8,696.2,6.185229018651484
12.962679,79.102492,12.938892,79.193183,17424.9,1067.2,10.177580612903004
12.914738,79.140904,12.929019,79.114489,4664.5,383.8,3.2737590303357536
12.939267,79.111231,12.959938,79.135063,5016.1,349.5,3.4573130562275725
12.914948,79.106722,12.912958,79.12482,4818.3,507.0,1.9739500699732033
12.979278,79.100252,12.940577,79.108776,6335.5,535.4,4.40137529156374
12.960935,79.14988,12.964684,79.142272,2213.0,249.1,0.9238171886293768
12.927406,79.179778,12.973401,79.197568,19582.4,1429.8,5.465697942211835
12.934789,79.151099,12.964003,79.15038,9653.1,664.2,3.249387369943184
12.924085,79.125596,12.973114,79.160366,11578.5,938.2,6.627164848258624
12.926883,79.126315,12.904483,79.137408,4576.0,288.0,2.7657568645766224
12.926921,79.110911,12.94733,79.138026,5423.4,515.6,3.7128150500005783
12.967187,79.108336,12.913955,79.199502,22544.8,1625.9,11.51719231206206
12.943309,79.173989,12.947872,79.186535,2349.6,244.4,1.4511851178915833
12.918115,79.123644,12.968566,79.193245,12782.4,923.4,9.400136418082347
12.946465,79.143349,12.928528,79.146225,5710.9,422.0,2.018712108056901
12.90553,79.120905,12.943688,79.187441,10272.1,752.5,8.366716699967494
12.911419,79.151923,12.900862,79.103919,6586.6,835.2,5.33374278946075
12.962721,79.169541,12.92696,79.195523,17430.9,1263.9,4.8723718645961
12.96728,79.103146,12.900986,79.119279,12253.9,917.0,7.5760728729167495
12.968849,79.130932,12.97958,79.181226,8376.4,899.0,5.578780079945464
12.921992,79.145221,12.96315,79.198802,15171.2,1297.1,7.393332340679192
12.950494,79.170121,12.914034,79.105721,9742.7,1132.4,8.071389478375492
12.914653,79.1211,12.900895,79.109362,3791.8,406.8,1.9897022726229083
12.931333,79.110731,12.913385,79.118664,5531.3,489.7,2.173048617716575
12.931979,79.10458,12.903193,79.102157,9060.8,716.7,3.2116160112245526
12.950784,79.121003,12.963506,79.159884,6588.7,604.4,4.444435782930787
12.920794,79.140921,12.977161,79.138066,9097.5,683.5,6.275364494334965
12.979733,79.139463,12.909208,79.110262,12165.4,762.6,8.456447176430537
12.975329,79.110142,12.92677,79.135926,8932.5,449.8,6.079634145316853
12.908796,79.103655,12.973661,79.120532,14777.9,1222.5,7.440949887697494
12.956875,79.120914,12.944641,79.160902,8909.0,997.5,4.541874739645937
12.949388,79.17277,12.939735,79.120144,11472.5,1146.6,5.803173031586559
12.977513,79.141556,12.949523,79.165737,10095.4,694.5,4.0684868749999294
12.971911,79.162545,12.925023,79.195399,18631.6,1471.1,6.313368847285943
12.952517,79.109156,12.940179,79.163769,8651.0,672.0,6.075262599284246
12.97102,79.155252,12.950862,79.11432,8149.8,605.9,4.969676089406219
12.912557,79.112235,12.942045,79.139072,6766.3,724.2,4.383005901093686
12.94856,79.169285,12.919594,79.136326,7320.2,861.5,4.809623143882699
12.96326,79.107979,12.95713,79.129005,5194.4,636.2,2.3782046923793834
12.93873,79.148725,12.931258,79.162026,2753.6,382.3,1.6637796436306966
12.967946,79.133307,12.929751,79.111744,8240.1,568.8,4.847485851662217
12.976568,79.112313,12.97404,79.147734,5065.9,370.6,3.8483555312500446
12.959662,79.130303,12.940891,79.189676,15177.9,1014.3,6.764152183026692
12.901678,79.103763,12.969681,79.184642,16774.2,1141.5,11.576052216802402
12.919646,79.108158,12.963433,79.190559,14836.4,1230.5,10.170956307515143
12.947674,79.135034,12.90461,79.12884,6073.7,399.2,4.8353292030084125
12.924259,79.117762,12.964928,79.192541,13312.8,949.8,9.280137265578018
12.966151,79.154138,12.942864,79.163632,9502.9,652.1,2.7862979422749197
12.973573,79.137968,12.932464,79.159786,8204.9,516.5,5.146371537576696
12.931923,79.179605,12.935746,79.141687,5871.5,578.2,4.131253390780822
12.935187,79.193889,12.935774,79.191838,37.6,9.0,0.2316590174872773
12.934375,79.143891,12.953277,79.189316,6304.7,488.6,5.3526146217319015
12.943021,79.16694,12.961121,79.137597,11161.9,876.9,3.7632053852344316
12.918128,79.192257,12.951965,79.120524,23404.8,1550.1,8.636596420207615
12.971648,79.127873,12.958489,79.124862,1830.2,408.5,1.4991515576974253
